n,arxiv,machine_A,hand_verdict,at_site_B14,in_bibliography,hand_note,evidence
11,2210.11930,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","D.~W., {Mierle}, K., {Blanton}, M., \& {Roweis}, S. 2010, \aj, 139, 1782 \bibitem[{Lindegren(2018)}]{Lindegren2018report} Lindegren, L. 2018, technical note GAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2000){Lindegren}, {Madsen}, \& {Dravins}}]{Lindegren2000} {Lindegren}, L., {Madsen}, S., \&"
12,2211.01449,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography",". 1988, \apj, 332, 891 \bibitem[{{Lindegren}(2018)}]{lindegren18b} {Lindegren}, L. 2018, {Gaia Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-124-01, available at \url{https://www.cosmos.esa.int/web/gaia/public-dpac-documens}} \bibitem[{{Lindegren} {et~al.}(2021{\nate"
13,2302.04348,1,accept,1,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","ess the reliability of astrometric data. It is expected to be $\sim 1.0$ for sources for which the single-star astrometric solution is a good fit \citep{2018LL-LL-124L} while a RUWE $> 1.4$ is a sign of an unresolved binary system \citep{2021ApJ...907L..33S, 2021MNRAS.506.2269E}. We chose a slightly"
14,2307.01688,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","bitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren2018} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Liu} et~al.,}{{Liu} et~al.}{202"
15,2312.11664,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","~G. 1988, \apj, 332, 891 \bibitem[{{Lindegren}(2018)}]{lindegren18b} {Lindegren}, L. 2018, {Gaia Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-124-01, available at \url{https://www.cosmos.esa.int/web/gaia/public-dpac-documents}} \bibitem[{{Lindegren} {et~al.}(2018){L"
16,2403.12146,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","%Type = Article \bibitem[{Lindegren et~al.(2018)}]{lindegren2018_ruwe} \bibinfo{author}{Lindegren, L.}, et~al., \bibinfo{year}{2018}. \newblock \bibinfo{title}{Re-normalising the astrometric chi-square in gaia dr2}. \newblock \bibinfo{journal}{Gaia Technical Note: GAIA-C3-TN-LU-LL-124-01} . %Type = "
17,2404.14127,1,accept,1,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","}, {Arenou}, \& {Th{\'e}venin}}]{2022A&A...657A...7K} {Kervella}, P., {Arenou}, F., \& {Th{\'e}venin}, F. 2022, \aap, 657, A7 \bibitem[{Lindegren(2018)}]{LL:LL-124} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{Lindegren(2022)}]{LL:LL-136} Lindegren, L. 2022, gAIA-C3-TN-LU-LL-136 \bibitem[{{Lin"
18,2404.19676,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","70, 32 \bibitem[{{Lamzin}(1998)}]{lamzin1998} {Lamzin}, S.~A. 1998, Astronomy Reports, 42, 322 \bibitem[{Lindegren(2018)}]{lindegren2018} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Hern"
19,2405.10379,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{lindegren2018} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Mann} et~al.,}{{Mann} et~al.}"
20,2410.14372,1,reject,0,1,"LL-125 (Lindegren 2019), a different note; no LL-124 anywhere","te University, United States \bibitem[{Lindegren(2019)}]{LL:LL-125} Lindegren, L. 2019, {Gaia} Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-125, \url{http://www.cosmos.esa.int/web/gaia/public-dpac-documents} \bibitem[{{Lindegren} {et~al.}(2018){Lindegren}, {Hern{\'a"
21,2411.00088,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","m[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren_2018_RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2022}]{L"
22,2501.18719,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography"," {Zhong}, \& {Chen}}]{li20} {Li}, L., {Shao}, Z., {Li}, Z.-Z., {et~al.} 2020, \apj, 901, 49 \bibitem[{Lindegren(2018)}]{lindegrenruwe18} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {"
23,2504.11528,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","m[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren_2018_RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {https://dms.cosmos.esa.int/COSMOS/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren"
24,2510.19810,1,accept,1,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","ised unit weight error (RUWE), removing poor astrometric solutions and binaries, leaving only stars with $\textnormal{RUWE}<1.4$ in the final dataset \citep{LL:LL-124}. After these astrometric quality cuts, some additional quality criteria on the photometric measurements from $Gaia$ had to be taken "
25,2603.00229,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","ck et al.(2024)]{Linck:2024} Linck, E., Mathieu, R.\,d., \& Latham, D.~W.\ 2024, \aj, 168, 205 \bibitem[Lindegren(2018)]{Lindegren:2018} Lindegren, L. 2018, Re-normalising the Astrometric chi-square in Gaia~DR2, GAIA-C3-TN-LU-LL-124-01, (Lund: Gaia~DPAC) \bibitem[Lindegren et al.(2021)]{Lindegren:20"
