arxiv,state,states_threshold,focus_absorbed,ap50,ap_at_half,ap_band,ap75
2504.01987v3,measured,0,0,0,0,0,0
2503.23709v1,measured,0,0,0,0,0,0
2503.23508v1,measured,0,0,0,0,0,0
2503.23330v1,measured,0,0,0,0,0,0
2507.00224v1,measured,1,14,14,0,0,0
2507.00190v1,measured,0,0,0,0,0,0
2506.24063v1,measured,0,0,0,0,0,0
2506.23785v1,measured,0,5,5,0,0,0
2506.23581v2,measured,1,19,19,0,0,0
2506.23575v1,measured,0,0,0,0,0,0
2506.23565v1,measured,0,0,0,0,0,0
2506.23519v1,measured,0,0,0,0,0,0
2510.00303v1,measured,0,0,0,0,0,0
2509.26281v3,measured,0,13,13,0,0,0
2509.26158v2,measured,1,0,0,0,0,0
2509.26088v1,no_source,,,,,,
2509.26070v2,measured,0,0,0,0,0,0
2509.25570v1,measured,0,0,0,0,0,0
2509.25164v5,measured,0,1,1,0,0,0
2509.25026v3,measured,0,5,0,5,0,0
2601.00139v1,measured,0,0,0,0,0,0
2601.00067v1,measured,0,0,0,0,0,0
2512.24622v1,measured,0,15,15,0,0,0
2512.24592v3,measured,0,0,0,0,0,0
2512.24411v1,measured,0,0,0,0,0,0
2512.24385v2,measured,0,0,0,0,0,0
2512.23273v2,measured,0,21,21,0,0,0
2512.23208v1,measured,0,1,1,0,0,0
2603.30008v2,measured,0,0,0,0,0,0
2603.29954v2,measured,0,0,0,0,0,0
2603.29842v1,measured,0,0,0,0,0,0
2603.28670v1,measured,1,17,0,17,7,0
2603.28584v4,measured,0,0,0,0,0,0
2603.28224v1,measured,0,0,0,0,0,0
2603.28182v1,measured,0,0,0,0,0,0
2603.28149v1,measured,0,0,0,0,0,0
2607.00129v1,measured,0,0,0,0,0,0
2606.31834v1,measured,0,0,0,0,0,0
2606.31496v1,measured,0,0,0,0,0,0
2606.31373v1,measured,1,0,0,0,0,0
2606.31157v1,measured,1,6,4,2,0,0
2606.31096v1,measured,0,0,0,0,0,0
2606.31029v1,measured,0,0,0,0,0,0
2606.31015v1,measured,1,27,27,0,0,0
